Language	Speakers	Sample Size	Model Name	V-Measure Score	Num Chunks
cal	40	10	dccuchile/bert-base-spanish-wwm-cased	0.4565 ± 0.0111	1742
cal	40	10	dccuchile/bert-base-spanish-wwm-cased	0.4565 ± 0.0111	1742
cal	40	10	intfloat/multilingual-e5-large	0.4753 ± 0.0100	1742
cal	40	10	BAAI/bge-m3	0.4901 ± 0.0118	1742
cal	40	10	jinaai/jina-embeddings-v3	0.4444 ± 0.0084	1742
dutch	40	10	emanjavacas/GysBERT-v2	0.7155 ± 0.0094	740
dutch	40	10	DTAI-KULeuven/robbert-2023-dutch-large	0.6603 ± 0.0111	740
dutch	40	10	intfloat/multilingual-e5-large	0.6882 ± 0.0159	740
dutch	40	10	BAAI/bge-m3	0.6854 ± 0.0108	740
dutch	40	10	jinaai/jina-embeddings-v3	0.6294 ± 0.0141	740
eng	40	10	emanjavacas/MacBERTh	0.7578 ± 0.0133	657
eng	40	10	BAAI/bge-large-en-v1.5	0.5521 ± 0.0149	657
eng	40	10	intfloat/multilingual-e5-large	0.6049 ± 0.0175	657
eng	40	10	BAAI/bge-m3	0.6333 ± 0.0176	657
eng	40	10	jinaai/jina-embeddings-v3	0.5781 ± 0.0132	657
fre	40	10	dbmdz/bert-base-french-europeana-cased	0.4550 ± 0.0109	4626
fre	40	10	almanach/camembertav2-base	0.4438 ± 0.0098	4626
fre	40	10	intfloat/multilingual-e5-large	0.4481 ± 0.0132	4626
fre	40	10	BAAI/bge-m3	0.4488 ± 0.0156	4626
fre	40	10	jinaai/jina-embeddings-v3	0.4370 ± 0.0153	4626
ger	40	10	dbmdz/bert-base-german-europeana-uncased	0.6141 ± 0.0140	861
ger	40	10	deepset/gbert-large	0.6500 ± 0.0116	861
ger	40	10	intfloat/multilingual-e5-large	0.6097 ± 0.0150	861
ger	40	10	BAAI/bge-m3	0.6104 ± 0.0130	861
ger	40	10	jinaai/jina-embeddings-v3	0.5289 ± 0.0145	861
ita	40	10	models/bertoldo-all/checkpoint	0.5192 ± 0.0066	792
ita	40	10	dbmdz/bert-base-italian-xxl-cased	0.6316 ± 0.0132	792
ita	40	10	intfloat/multilingual-e5-large	0.6515 ± 0.0146	792
ita	40	10	BAAI/bge-m3	0.6563 ± 0.0133	792
ita	40	10	jinaai/jina-embeddings-v3	0.6179 ± 0.0124	792
